Value,City,Country,Latitude,Longitude
717618,Pekanbaru,Indonesia,0.5,101.4
715313,Ansan,Republic of Korea,37.4,126.9
715061,Hermosillo,Mexico,29.1,-111
713340,Bulawayo,Zimbabwe,-20.1,28.6
711329,Bhiwandi,India,19.3,73
710944,Shizuoka,Japan,35,138.4
709700,Binzhou,China,37.4,118
709671,Saltillo,Mexico,25.4,-101
707613,Santo André,Brazil,-23.6,-46.5
706342,Sagamihara,Japan,35.6,139.4
705649,Zhangzhou,China,24.5,117.7
705399,Bukavu,Democratic Republic of the Congo,-2.5,28.9
704114,Seville,Spain,37.4,-6
703969,Duschanbe,Tajikistan,38.5,68.8
703345,Saharanpur,India,30,77.6
703123,Khon Kaen,Thailand,16.4,102.8
702400,Djiboutibouti,Djibouti,11.8,42.4
702330,TUNIS,Tunisia,36.8,10.2
701753,Makhachkala,Russia,43,47.5
701350,Frankfurt am Main,Germany,50.1,8.7
701293,Okayama,Japan,34.7,133.9
696946,Quebec City,Canada,46.8,-71.2
695793,Taguig,Philippines,14.5,121.1
693271,Osasco,Brazil,-23.6,-46.8
692348,PRETORIA,South Africa,-25.7,28.2
692136,Touba Mosquee,Senegal,14.9,-15.9
689775,Mexicali,Mexico,32.7,-115.4
688876,Xingtai,China,37.1,114.5
688701,Detroit,USA,42.4,-83.1
686848,Fuxin,China,42,121.6
686722,Palermo,Italy,38.1,13.4
686306,Barnaul,Russia,53.4,83.8
684322,Adan,Yemen,12.8,45
681036,São José dos Campos,Brazil,-23.5,-46.7
681000,Jos,Nigeria,9.9,8.9
680943,Jaboatão dos Guararapes,Brazil,-8.1,-35
679600,Dezhou,China,37.4,116.3
677741,Antipolo,Philippines,14.6,121.1
677000,Zaria,Nigeria,11.1,7.7
676858,Yangjiang,China,21.9,112
676464,Panjin,China,41.1,122.1
675773,Culiacán,Mexico,24.8,-107.4
674433,El Paso,USA,31.8,-106.4
674000,Maiduguri,Nigeria,11.8,13.2
673616,Guadalupe,Mexico,25.6,-100
673479,Acapulco,Mexico,16.9,-99.9
671551,Winnipeg,Canada,49.9,-97.1
670580,Hamilton,Canada,43.3,-79.9
670348,Kumamoto,Japan,32.8,130.7
670000,Rabat,Morocco,34,-6.9
669773,Pasig,Philippines,14.6,121.1
669242,Durban,South Africa,-29.9,31
669021,LILONGWE,Malawi,-14,33.8
668085,Beihai,China,21.5,109.1
667929,Chongjin,Democratic People's Republic of Korea,41.8,129.8
667499,Orumiyeh,Iran,37.6,45.1
662852,Cheongju,Republic of Korea,36.6,127.5
661444,Blantyre City,Malawi,-15.8,35
658059,Ribeirão Preto,Brazil,-21.2,-47.8
657760,Kryvy Rig,Ukraine,47.9,33.4
655738,Liaoyang,China,41.3,123.2
655631,Puyang,China,35.8,115
654681,Uberlândia,Brazil,-18.9,-48.3
653450,Memphis,USA,35.1,-90
653410,Tlalnepantla,Mexico,19.5,-99.2
653337,Bulawayo,Zimbabwe,-20.1,28.6
653075,Nakhon Ratchasima,Thailand,15,102.1
652405,Seattle,USA,47.6,-122.4
651382,Guntur,India,16.3,80.4
650000,Mar del Plata,Argentina,-38,-57.6
649495,Denver,USA,39.8,-104.9
647504,Jeonju,Republic of Korea,35.8,127.1
647100,COLOMBO,Sri Lanka,6.9,79.9
646801,Amravati,India,20.9,77.8
646449,Washington,USA,38.9,-77
645966,Boston,USA,42.3,-71
644799,Tyumen,Russia,57.2,65.5
644406,Bikaner,India,28,73.3
644045,Zhaoqing,China,23.1,112.5
643476,Contagem,Brazil,-20,-44
642653,Ganzhou,China,25.9,114.9
642381,Noida,India,28.5,77.4
639951,Rasht,Iran,37.3,49.6
639311,ASTANA,Kazakhstan,51.2,71.5
637637,Ulyanovsk,Russia,54.3,48.4
637617,Yulin,China,38.3,109.7
637302,Cúcuta,Colombia,7.9,-72.5
637187,Sorocaba,Brazil,-23.5,-47.4
635464,Tasikmalaya,Indonesia,-7.3,108.2
634464,Nashville,USA,36.2,-86.8
631898,Goma,Democratic Republic of the Congo,-1.7,29.2
631182,Izhevsk,Russia,56.8,53.2
630131,Wrocław,Poland,51.1,17
629824,Bengasi,Libya,32.1,20.1
629659,Jamshedpur,India,22.8,86.2
629609,Eskişehir,Turkey,39.8,30.5
628306,Cancún,Mexico,19.2,-88.5
626495,Querétaro,Mexico,20.6,-100.4
625697,Bhilai Nagar,India,21.2,81.4
625481,Banjarmasin,Indonesia,-3.3,114.6
624281,Vladivostok,Russia,43.1,131.9
623766,Aracaju,Brazil,-10.9,-37.1
622104,Baltimore,USA,39.3,-76.6
620419,Zaragoza,Spain,41.6,-0.9
620318,Kirkuk,Iraq,35.5,44.3
618683,Oslo,Norway,59.9,10.8
618376,Cochabamba,Bolivia,-17.4,-66.2
617277,Jingjiang,China,32,120.3
614170,Anyang,Republic of Korea,37.4,126.9
614074,Helsinki,Finland,60.2,24.9
612383,Chimalhuacán,Mexico,19.4,-99.1
612000,Feira de Santana,Brazil,-12.2,-39
611706,Libreville,Gabon,0.4,9.5
610613,Oklahoma City,USA,35.5,-97.5
610307,Genoa,Italy,44.4,8.9
609893,Louisville,USA,38.2,-85.7
609456,Portland,USA,45.5,-122.7
608836,Torreón,Mexico,25.6,-103.4
606007,Cuttack,India,20.5,85.9
605196,Kagoshima,Japan,31.6,130.6
605000,Agadir,Morocco,30.4,-9.6
604297,Stuttgart,Germany,48.8,9.2
603488,Las Vegas,USA,36.2,-115.3
603066,Serrekunda,Gambia,13.5,-16.7
602088,Cagayan de Oro,Philippines,8.5,124.6
601993,Irkutsk,Russia,52.3,104.3
601574,Kochi,India,9.9,76.3
600000,Enugu,Nigeria,6.4,7.5
599164,Milwaukee,USA,43.1,-88
598686,Düsseldorf,Germany,51.2,6.8
598470,Glasgow,United Kingdom,55.9,-4.3
598000,Tétouan,Morocco,35.6,-5.4
597511,Morelia,Mexico,19.6,-101.7
597161,Yaroslavl,Russia,57.6,39.9
596165,Zhangzhou,China,24.5,117.7
596155,Bujumbura,Burundi,-3.4,29.4
593768,Bhavnagar,India,21.8,72.2
592389,Gold Coast-Tweed Heads,Australia,-27.9,153.2
592381,Jiujiang,China,29.7,116
592291,KINGSTON,Jamaica,18,-76.8
592000,Osogbo,Nigeria,7.8,4.5
589596,Khabarovsk,Russia,48.5,135.1
589466,Reynosa,Mexico,26.1,-98.3
588995,Chiclayo,Peru,-6.8,-79.8
588935,Port Said,Egypt,31.3,32.3
588533,Bouake,Côte d'Ivoire,7.7,-5
588126,Parañaque,Philippines,14.5,121
586762,Funabashi,Japan,35.7,140
582774,Soledad,Colombia,10.9,-74.8
580151,Namyangju,Republic of Korea,37.6,127.2
579000,Skhirate-Témara,Morocco,33.9,-6.9
578420,Dehradun,India,30.3,78
577785,Serang,Indonesia,-6.1,106.2
576203,Bahawalpur,Pakistan,29.4,71.7
575944,Dortmund,Germany,51.5,7.5
575942,Tlaquepaque,Mexico,20.6,-103.3
575817,Dasmariñas,Philippines,14.3,121
575512,Mwanza,Tanzania,-2.5,32.9
575480,Cuiabá,Brazil,-15.6,-56.1
575356,Valenzuela,Philippines,14.7,121
574148,Cheonan,Republic of Korea,36.8,127.2
573003,Poznań,Poland,52.4,16.9
571041,Orenburg,Russia,51.8,55.1
569884,Essen,Germany,51.5,7
567900,Macao,Macao,22.2,113.6
567367,Hachiōji,Japan,35.7,139.3
566996,Shimkent,Kazakhstan,42.3,69.6
566200,Cimahi,Indonesia,-6.9,107.5
565000,Tomsk,Russia,56.5,85
564806,Bobo-Dioulasso,Burkina Faso,11.2,-4.3
564491,Asansol,India,23.7,87
562321,Chuzhou,China,32.2,118.3
560725,Zahedan,Iran,29.5,60.9
557579,Balikpapan,Indonesia,-1.3,116.8
557333,MB Johor Bahru,Malaysia,1.5,103.8
556495,Albuquerque,USA,35.1,-106.6
555000,Inezgane ait Melloul,Morocco,30.4,-9.6
554601,Joinville,Brazil,-26.3,-48.9
554547,Sargodha,Pakistan,32.1,72.7
552883,Kawaguchi,Japan,35.8,139.7
552573,Las Piñas,Philippines,14.4,121
552503,Macau,China,22.2,113.5
551000,Khemisset,Morocco,33.8,-6.1
550710,Juiz de Fora,Brazil,-21.7,-43.4
550564,Nanded-Waghala,India,19.2,77.3
549839,Gothenburg,Sweden,57.7,12
549383,Novokuznetsk,Russia,53.8,87.1
549163,San Miguel de Tucumán,Argentina,-26.8,-65.2
548547,Bremen,Germany,53.1,8.8
543669,Nakuru,Kenya,-0.3,36.2
543003,Londrina,Brazil,-23.3,-51.2
542876,Ibagué,Colombia,4.7,-75.3
542580,Ajmer,India,26.5,74.6
542017,Mawlamyine,Myanmar,16.5,97.6
540318,Vilnius,Lithuania,54.7,25.3
539960,Rotterdam,Netherlands,51.9,4.5
538188,Kemerovo,Russia,55.3,86.1
538086,General Santos,Philippines,6.1,125.2
537102,Tuxtla Gutiérrez,Mexico,16.8,-93.1
536793,Cangzhou,China,38.3,116.9
536271,Skopje,Macedonia,42,21.4
536170,Himeji,Japan,34.8,134.7
535686,Málaga,Spain,36.7,-4.4
535657,Aksu,China,41.1,81.4
535303,Ciudad de Salta,Argentina,-24.8,-65.4
534441,Kerman,Iran,30.3,57.1
532132,Gaza,Palestine,31.5,34.5
531997,Samsun,Turkey,41.3,36.3
531562,Leipzig,Germany,51.3,12.4
531000,Ikorodu,Nigeria,6.6,3.6
530754,Dresden,Germany,51,13.7
529308,Jamnagar,India,22.5,70.1
529055,Suez,Egypt,30,32.5
527612,Dublin,Ireland,53.4,-6.3
527000,ABU DHABI,United Arab Emirates,24.5,54.4
526919,Ryazan,Russia,54.6,39.7
526827,Bucaramanga,Colombia,7.1,-73.1
526363,Astrakhan,Russia,46.4,48.1
526116,Tucson,USA,32.2,-110.9
525794,Hamadan,Iran,34.8,48.5
524958,Nyala,Sudan,12.1,24.9
521955,Maturín,Venezuela,9.8,-63.2
521273,Taif,Saudi-Arabia,21.4,40.4
520216,Bacoor,Philippines,14.4,121
519948,Penza,Russia,53.2,45
518736,San Pedro Sula,Honduras,15.5,-88
518709,Durango,Mexico,24,-104.7
518386,Hanover,Germany,52.4,9.7
517831,Naberezhnye Tchelny,Russia,55.7,52.4
517543,Kitwe,Zambia,-12.8,28.2
517505,Hwaseong,Republic of Korea,37.1,126.9
517322,Pohang,Republic of Korea,36,129.3
515833,El-Mahalla El-Kubra,Egypt,31,31.2
515215,Ujjain,India,23.2,75.8
515068,Matsuyama,Japan,33.8,132.7
513862,Sangli,India,16.9,74.6
513000,Warri,Nigeria,5.5,5.8
513000,Oujda,Morocco,34.7,-1.9
512296,Loni,India,19.6,74.5
511820,Bacolod,Philippines,10.6,123
511323,Aparecida de Goiânia,Brazil,-16.8,-49.3
509924,Fresno,USA,36.8,-119.8
509157,Higashiōsaka,Japan,34.7,135.6
508585,Lipetsk,Russia,52.6,39.6
508209,Lisbon,Portugal,38.7,-9.1
508000,Khouribga,Morocco,32.9,-6.9
507833,Utsunomiya,Japan,36.6,139.9
507726,Gimhae,Republic of Korea,35.2,128.9
507293,Jhansi,India,25.4,78.6
505959,Pondicherry,India,11.9,79.8
505434,MB Ipoh,Malaysia,3.2,101.7
505346,Kirov,Russia,58.6,49.7
505258,Nellore,India,14.4,80
505139,Zhoukou,China,33.6,114.6
503690,Jammu,India,32.7,74.9
502400,Nadjaf,Iraq,32,44.3
501843,Pontianak,Indonesia,0,109.3
501719,Gomel,Belarus,52.4,31
500000,Ciudad de Santa Fe,Argentina,-31.6,-60.7
499776,Ananindeua,Brazil,-1.3,-48.4
499337,Surakarta,Indonesia,-7.6,110.8
498876,Nuremberg,Germany,49.5,11.1
498643,Denizli,Turkey,37.8,29.1
498269,Manchester,United Kingdom,53.5,-2.2
498111,Şanlıurfa,Turkey,37.2,38.8
498058,Xuchang,China,34,113.8
496656,Tula,Russia,54.2,37.6
495470,Niterói,Brazil,-22.9,-43.1
495419,Garoua,Cameroon,9.3,13.4
494013,Porto Velho,Brazil,-8.8,-63.9
491693,Mykolaiv,Ukraine,47,32
491500,Kandahar,Afghanistan,31.6,65.7
491000,Larache,Morocco,35.2,-6.2
489333,Toluca,Mexico,19.4,-99.1
489232,Hegang,China,47.3,130.3
489160,Ciudad López Mateos,Mexico,19.6,-99.2
488995,Soacha,Colombia,4.6,-74.2
488292,Belagavi,India,15.9,74.5
488000,Al-Sharjah,United Arab Emirates,25.3,55.4
486855,Duisburg,Germany,51.4,6.7
486152,Yazd,Iran,31.9,54.4
485217,Tshikapa,Democratic Republic of the Congo,-6.4,20.8
484874,Raurkela,India,22.3,84.9
484785,Mangaluru,India,12.9,74.9
484696,Sialkot,Pakistan,32.5,74.5
484573,Cuautitlán Izcalli,Mexico,19.4,-99.1
484344,Lyon,France,45.8,4.8
484212,Arak,Iran,34.1,49.7
483057,Udon Thani,Thailand,17.4,102.8
482632,Ardabil,Iran,38.3,48.3
480648,Campos dos Goytacazes,Brazil,-21.8,-41.3
480263,Mariupol,Ukraine,47.1,37.5
479686,Sacramento,USA,38.6,-121.5
479386,Belford Roxo,Brazil,-22.7,-43.4
479186,Samut Sakhon,Thailand,13.5,100.3
477603,Matsudo,Japan,35.8,139.9
477056,Nishinomiya,Japan,34.7,135.3
476780,Porto-Novo,Benin,6.5,2.6
476719,Makati,Philippines,14.6,121
476428,Serra,Brazil,-20.2,-40.2
476000,Sokoto,Nigeria,13.1,5.2
475630,Den Haag,Netherlands,52.1,4.3
474838,Tirunelveli,India,8.7,77.7
473189,Cheboksary,Russia,56.2,47.2
472452,Kurashiki,Japan,34.6,133.8
471006,Malegaon,India,20.6,74.5
470223,Caxias do Sul,Brazil,-29.2,-51.2
470149,Ichikawa,Japan,35.7,139.9
469428,Long Beach,USA,33.8,-118.2
469066,Santa Marta,Colombia,11.2,-74.2
469017,Liverpool,United Kingdom,53.4,-3
467875,Nanping,China,26.6,118.2
467267,Ōita,Japan,33.2,131.6
467157,Ciudad Apodaca,Mexico,25.6,-100
467007,Kansas City,USA,39.1,-94.6
465989,Barcelona,Venezuela,10.1,-64.7
465698,Karaganda,Kazakhstan,49.8,73.1
465690,Vila Velha,Brazil,-20.3,-40.3
465375,al-Mansura,Egypt,31,31.4
465000,Akure,Nigeria,7.2,5.2
464719,Pereira,Colombia,4.8,-75.7
463454,Gaya,India,24.8,85
463121,Villavicencio,Colombia,4.1,-73.6
461524,Florianópolis,Brazil,-27.6,-48.5
461459,Lugansk,Ukraine,48.6,39.3
461368,Fukuyama,Japan,34.5,133.4
461202,Amagasaki,Japan,34.7,135.4
460711,São João de Meriti,Brazil,-22.8,-43.4
460524,Gdańsk,Poland,54.4,18.6
460000,Abeokuta,Nigeria,7.2,3.4
459941,Muntinlupa,Philippines,14.4,121
459440,Luxor,Egypt,25.7,32.6
458074,Bissau,Guinea-Bissau,11.9,-15.6
457749,Antwerp,Belgium,51.2,4.4
457587,Mesa,USA,33.4,-111.7
455783,Chipata,Zambia,-13.6,32.6
455732,Chiang Rai,Thailand,19.9,99.8
455623,Al-Rayyan,Qatar,25.2,51.1
455595,Kanazawa,Japan,36.6,136.7
454553,San Jose del Monte,Philippines,14.8,121
453046,Santo Domingo North - Santo Domingo Norte,Dominican Republic,18.6,-69.9
452472,Chaozhou,China,23.7,116.6
452134,Mixco,Guatemala,14.6,-90.6
451735,Udaipur,India,24.6,73.7
451400,Lishui,China,28.2,119.6
451246,Ndola,Zambia,-13,28.7
449815,Matamoros,Mexico,25.9,-97.5
449047,Kerbela,Iraq,32.6,44
448792,Nagasaki,Japan,32.8,129.9
448776,Mauá,Brazil,-23.6,-46.4
448624,Edinburgh,United Kingdom,56,-3.2
448479,Virginia Beach,USA,36.8,-76
448280,Bamenda,Cameroon,6,10.2
448028,Constantine,Algeria,36.4,6.6
447841,Atlanta,USA,33.8,-84.4
446757,Macapá,Brazil,0.1,-51.1
445939,Rayong,Thailand,12.7,101.1
444681,Kitchener,Canada,43.5,-80.5
444543,Tiruppur,India,11.1,77.3
444325,Zanzibar,Tanzania,-6.1,39.2
443273,San Nicolás de los Garza,Mexico,25.7,-100.3
441802,Toulouse,France,43.6,1.4
441407,Sochi,Russia,43.6,39.7
441351,Tabuk,Saudi-Arabia,28.4,36.6
439886,Colorado Springs,USA,38.9,-104.8
439866,Sheffield,United Kingdom,53.4,-1.5
438577,Bello,Colombia,6.3,-75.6
438354,São José do Rio Preto,Brazil,-20.8,-49.4
437456,Kaliningrad (Kaliningradskaya oblast),Russia,54.7,20.5
437012,Jambi,Indonesia,-1.6,103.6
436300,Herat,Afghanistan,34.3,62.2
435751,Bandar-e-Abbas,Iran,27.2,56.3
435128,Davanagere,India,14.5,75.9
434353,Omaha,USA,41.3,-96
433565,Santos,Brazil,-24,-46.3
433242,Valledupar,Colombia,10.5,-73.3
432097,Kozhikode,India,11.3,75.8
431998,Maseru,Lesotho,-29.3,27.5
431988,"Hsinchu
","Taiwan
",24.8,121
431746,Raleigh,USA,35.8,-78.6
431471,Santiago de Cuba,Cuba,20,-75.8
431061,Bratislava,Slovakia,48.1,17.1
430987,Bryansk,Russia,53.3,34.4
430198,Uijeongbu,Republic of Korea,37.7,127
430025,Sukkur,Pakistan,27.7,68.8
429632,Tanta,Egypt,30.8,31
428940,Kalasin,Thailand,16.4,103.5
428890,Pasto,Colombia,1.2,-77.3
428579,Montería,Colombia,8.9,-75.7
428323,Veracruz,Mexico,19.2,-96.1
428075,Pyeongtaek,Republic of Korea,37,127.1
427367,Iquitos,Peru,-3.7,-73.3
427146,Akola,India,20.7,77
425950,Kursk,Russia,51.7,36.2
425038,Matadi,Democratic Republic of the Congo,-5.8,13.5
424920,Kurnool,India,15.8,78
424755,Xalapa,Mexico,19.2,-96.1
424662,Matola,Mozambique,-26,32.5
424619,Iloilo City,Philippines,10.7,122.6
424150,Marikina,Philippines,14.7,121.1
424124,Piura,Peru,-5.2,-80.6
423853,Jeju,Republic of Korea,33.5,126.5
421397,Yokosuka,Japan,35.3,139.7
421116,Toyama,Japan,36.7,137.2
420850,Newcastle-Maitland,Australia,-32.7,151.6
420556,Bristol,United Kingdom,51.5,-2.6
420286,Toyota,Japan,35.1,137.2
419839,Mogi das Cruzes,Brazil,-23.5,-46.2
418557,Takamatsu,Japan,34.2,134
418495,Tirana,Albania,41.3,19.8
417650,Miami,USA,25.8,-80.2
416464,Cilegon,Indonesia,-6,106
414977,Nassiriya,Iraq,31.1,46.3
413934,Bokaro Steel City,India,23.7,86.2
413893,Gumi,Republic of Korea,36.1,128.3
413850,Ulan-Ude,Russia,51.8,107.6
413786,Machida,Japan,35.6,139.4
413616,Rajahmundry,India,17,81.8
413294,Szczecin,Poland,53.4,14.6
413006,Cuzco,Peru,-13.5,-72
412779,Gifu,Japan,35.4,136.8
412252,Kahramanmaraş,Turkey,37.6,36.9
412049,Canberra-Queanbeyan,Australia,-35.4,149.2
412003,Betim,Brazil,-20,-44.2
412000,Bauchi,Nigeria,10.3,9.8
411954,Ubon Ratchathani,Thailand,15.2,104.9
411800,Tel Aviv-Yafo,Israel,32.1,34.8
410984,Surat Thani,Thailand,9.1,99.3
410733,Magnitogorsk,Russia,53.4,59
409644,Ballari,India,15.1,76.9
409613,Diadema,Brazil,-23.7,-46.6
408952,Ivanovo,Russia,57,41
408759,Tonalá,Mexico,20.7,-103.3
408560,Stavropol,Russia,45.1,42
407896,Tver,Russia,56.9,35.9
406898,Port Sudanan,Sudan,19.6,37.2
406253,Oakland,USA,37.8,-122.2
406201,Hirakata,Japan,34.8,135.6
405715,Manado,Indonesia,1.5,124.8
405385,Pietermaritzburg,South Africa,-29.6,30.4
405337,Brno,Czech Republic,49.2,16.6
402912,Campina Grande,Brazil,-6.8,-38.2
402843,Mataram,Indonesia,-8.6,116.1
402646,Rajshahi,Bangladesh,24.4,88.6
402628,Fujisawa,Japan,35.3,139.5
402275,Zurich,Switzerland,47.4,8.5
401705,Malatya,Turkey,38.4,38.3
400891,Siheung,Republic of Korea,37.4,126.8
400070,Minneapolis,USA,45,-93.3
400000,Juba,Sudan,4.9,31.6
399688,Agartala,India,23.8,91.3
398138,Bhagalpur,India,25.3,87
398121,Tulsa,USA,36.1,-95.9
397965,Jundiaí,Brazil,-23.2,-46.9
397368,Beira,Mozambique,-19.8,34.9
396795,Kashgar,China,39.5,76
396193,Tallinn,Estonia,59.4,24.8
395227,Zarqa,Jordan,31.8,36.9
394961,Asyut,Egypt,27.2,31.2
393167,Manizales,Colombia,5.1,-75.5
392869,Pasay,Philippines,14.5,121
391698,Maringá,Brazil,-23.4,-51.9
391297,Namangan,Uzbekistan,41,71.7
390700,Makeyevka,Ukraine,48,38
390329,Villa Nueva,Guatemala,14.5,-90.6
390212,Montes Claros,Brazil,-16.7,-43.9
390113,Cleveland,USA,41.5,-81.7
390073,Carapicuíba,Brazil,-23.5,-46.8
389377,Calamba,Philippines,14.2,121.1
389102,Islam Shahr (Qasemabad),Iran,35.5,51.2
389036,Kashiwa,Japan,35.9,140
388821,Olinda,Brazil,-8,-34.9
388627,Yogyakarta,Indonesia,-7.8,110.4
388412,Piracicaba,Brazil,-22.7,-47.7
387269,Toyonaka,Japan,34.8,135.5
386851,Zanjan,Iran,36.7,48.5
386552,Wichita,USA,37.7,-97.3
386435,Beni,Democratic Republic of the Congo,0.5,29.5
384914,Antofagasta,Chile,-23.7,-70.4
384504,Buenaventura,Colombia,3.8,-77
382816,Paju,Republic of Korea,37.8,126.8
382754,Latur,India,18.4,76.6
382299,SAN JUAN,Puerto Rico,18.5,-66.1
381598,Qazvin,Iran,36.3,50
381583,Mazatlán,Mexico,25.8,-108.2
381474,Sevastopol,Ukraine,44.6,33.5
380953,Ciudad Bolívar,Venezuela,8.3,-62.8
380941,Irapuato,Mexico,20.7,-101.4
379638,Vereeniging,South Africa,-26.7,27.9
379577,Arlington,USA,32.7,-97.1
379149,Larkana,Pakistan,27.6,68.2
378915,Cariacica,Brazil,-20.3,-40.4
378715,New Orleans,USA,30.1,-89.9
378422,Buraida,Saudi-Arabia,26.3,44
378204,Nagano,Japan,36.7,138.2
377888,Murcia,Spain,38,-1.1
377045,Toyohashi,Japan,34.8,137.4
376833,Takoradi,Ghana,4.9,-1.8
376093,Dhule,India,20.9,74.8
376000,Calabar,Nigeria,5,8.3
375999,Buri Ram,Thailand,15,103.1
375939,Ichinomiya,Japan,35.3,136.8
375566,Klang,Malaysia,3,101.4
374706,Cumaná,Venezuela,10.5,-64.2
374011,Sheikhupura,Pakistan,31.7,74
373987,Sanandaj,Iran,35.2,47
373725,Nuevo Laredo,Mexico,25.8,-97.5
373077,"Keelung
","Taiwan
",25.2,121.8
372695,Chamis Muschait,Saudi-Arabia,18.3,42.7
372463,Lampang,Thailand,18.3,99.5
372175,Wakayama,Japan,34.2,135.2
371380,Okazaki,Japan,34.9,137.2
371217,Bologna,Italy,44.5,11.3
369860,Vinnutsya,Ukraine,49.2,28.5
369815,Belgorod,Russia,50.6,36.6
369534,"Sarajevo
","Bosnia-Herzegovina
",43.9,18.4
369473,Miyazaki,Japan,31.9,131.4
369151,Bydgoszcz,Poland,53.1,18
368100,Mazar-i-Sharif,Afghanistan,36.7,67.1
367539,Maroua,Cameroon,10.6,14.3
367419,Van,Turkey,38.5,43.4
367393,Nara,Japan,34.7,135.8
367250,Erzurum,Turkey,39.9,41.3
367000,Mohammedia,Morocco,33.7,-7.4
366343,Benoni,South Africa,-26.2,28.3
366341,Nampo,Democratic People's Republic of Korea,38.7,125.4
366191,London,Canada,43,-81.2
366100,Christchurch,New Zealand,-43.5,172.6
365736,Phra Nakhon Si Ayutthaya,Thailand,14.4,100.6
365113,Roi Et,Thailand,16.1,103.7
365101,Mogilev,Belarus,53.9,30.3
364599,Chimbote,Peru,-9.1,-78.6
364562,Bauru,Brazil,-22.3,-49.1
363928,Rio Branco,Brazil,-10,-67.8
363630,Bakersfield,USA,35.3,-119
363210,Korba,India,22.4,82.8
363127,Wonsan,Democratic People's Republic of Korea,39.1,127.4
362185,Nizhny Tagil,Russia,57.9,60
361991,Anápolis,Brazil,-16.3,-48.9
361734,Bochum,Germany,51.5,7.2
361454,Nha Trang,Vietnam,12.2,109.2
361366,Beirut,Lebanon,33.9,35.5
361339,Samarkand,Uzbekistan,39.6,67
361274,Kaunas,Lithuania,54.9,23.9
361019,al-Obeid,Sudan,13.2,30.2
360707,Vitebsk,Belarus,55.2,30.2
360009,Bhilwara,India,25.3,74.6
359341,Sinuiju,Democratic People's Republic of Korea,40.1,124.4
358462,Palma de Mallorca,Spain,39.6,2.7
358159,Phuket,Thailand,8,98.3
358000,Igbidu,Nigeria,6,8.1
357279,Huancayo,Peru,-12.1,-75.2
357264,Arkhangelsk,Russia,64.5,40.6
357000,Okenne,Nigeria,7.6,6.2
356840,Chitungwiza,Zimbabwe,-18,31.1
356771,Simferopol,Ukraine,45,34.1
356352,Xico,Mexico,19.4,-99.1
356118,Florence,Italy,43.8,11.3
355953,Lublin,Poland,51.2,22.6
355823,Brahmapur,India,19.3,84.8
355618,Gwangmyeong,Republic of Korea,37.5,126.9
355413,Barinas,Venezuela,8.8,-70.4
354600,Suita,Japan,34.8,135.5
354228,Takatsuki,Japan,34.9,135.6
353950,Bilbao,Spain,43.3,-2.9
353577,Villahermosa,Mexico,18,-92.9
353337,Malabon,Philippines,14.7,121
353040,São Vicente,Brazil,-24,-46.4
352957,Tampa,USA,28,-82.5
352907,Kikwit,Democratic Republic of the Congo,-5,18.8
352565,Kuantan,Malaysia,3.8,103.3
352444,General Escobedo,Mexico,25.6,-100
352362,Likasi,Democratic Republic of the Congo,-11,26.7
352204,Chitungwiza,Zimbabwe,-18,31.1
352104,Vitória,Brazil,-20.3,-40.3
351838,Muzaffarpur,India,26.1,85.4
350905,Ahmednagar,India,19.1,74.8
350511,Asahikawa,Japan,43.8,142.4
350504,BLOEMFONTEIN,South Africa,-29.1,26.2
350467,Lapu-Lapu,Philippines,10.3,124
350000,Cabinda,Angola,-5.6,12.2
350000,Ogbomosho,Nigeria,8.1,4.2
349947,Iwaki,Japan,37.1,140.9
349543,Grodno,Belarus,53.7,23.8
349526,Caucaia,Brazil,-3.7,-38.7
349525,Vladimir,Russia,56.1,40.4
349175,Santo Domingo West - Santo Domingo Oeste,Dominican Republic,18.5,-69.9
349033,Kollam,India,8.9,76.6
349000,Al-Sweida,Syria,32.6,36.5
348920,Thessaloniki,Greece,40.6,22.9
348739,Itaquaquecetuba,Brazil,-23.5,-46.3
348216,Khoramabad,Iran,33.5,48.4
348049,Mbeya,Tanzania,-8.9,33.5
347884,Honolulu,USA,21.3,-157.8
347809,Jhang,Pakistan,31.3,72.3
347486,Taraz,Kazakhstan,42.9,71.4
346922,Kovrov,Russia,56.4,41.3
346854,Raghunathganj,India,24.5,88.1
346788,San Miguelito,Panama,9,-79.5
345876,Tanchon,Democratic People's Republic of Korea,40.5,128.9
345821,Kisangani,Democratic Republic of the Congo,0.5,25.2
345803,Aurora,USA,39.7,-104.8
345012,Anaheim,USA,33.9,-117.8
344803,Kathlehong,South Africa,-26.4,28.2
344766,Kaluga,Russia,54.6,36.3
344426,Kempton Park,South Africa,-26.1,28.2
343488,Wuppertal,Germany,51.3,7.2
343304,Nice,France,43.7,7.3
342944,Kōchi,Japan,33.6,133.5
342703,Annaba,Algeria,36.9,7.8
342328,Caruaru,Brazil,-8.3,-36
342053,Pelotas,Brazil,-31.7,-52.3
342000,Gombe,Nigeria,10.3,11.2
341838,Takasaki,Japan,36.3,139
340387,Celaya,Mexico,20.5,-100.8
340199,Vitória da Conquista,Brazil,-14.9,-40.9
340000,Buôn Ma Thuột,Vietnam,12.7,108
339979,Canoas,Brazil,-29.9,-51.1
339822,Huế,Vietnam,16.5,107.6
339736,Nakhon Pathom,Thailand,13.8,100.1
339715,Umlazi,South Africa,-30,30.9
339461,Franca,Brazil,-23.5,-46.6
